Scaffold,Association
1,56
1,60
2,2
3,3
4,4
5,67
5,72
6,6
7,54
7,71
8,8
9,9
10,50
11,11
12,12
13,13
14,40
14,56
14,47
14,48
14,53
15,70
15,66
15,75
15,85
16,62
16,81
17,17
18,39
19,35
20,49
21,21
22,22
23,33
23,45
24,24
25,25
26,37
26,41
26,44
26,63
26,68
26,74
27,27
28,32
28,51
28,55
28,58
29,38
29,42
29,59
30,34
30,43
31,36
32,51
32,55
32,58
33,45
33,46
34,43
35,35
36,36
37,41
37,44
37,63
37,68
37,74
38,42
38,59
39,39
40,48
40,53
41,44
41,63
41,68
41,74
42,59
43,43
44,63
44,68
44,74
45,45
46,46
47,47
48,53
49,49
50,50
51,55
51,58
52,57
52,61
52,64
52,65
52,69
52,76
52,79
52,80
53,76
53,92
54,71
55,58
56,60
57,61
57,64
57,65
57,69
57,76
57,79
57,80
57,82
57,84
58,58
59,128
60,60
61,64
61,65
61,69
61,76
61,79
61,80
61,82
61,84
62,81
63,68
63,73
63,74
63,91
63,133
64,69
64,76
64,77
64,79
64,80
64,82
65,69
65,76
65,77
65,79
65,80
65,82
66,70
66,75
66,85
66,95
66,110
67,67
68,73
69,76
69,77
69,79
69,80
69,82
70,75
70,85
71,71
72,72
73,91
74,74
75,85
75,95
76,77
76,79
76,82
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
